id;url;launch_library_id;slug;name;net;window_end;window_start;mission;mission_type;pad;location;landing;landing_success;launcher;orbit;image;status.id;status.name
c183a50f-fcc0-4cdc-8fa1-750d67ca5130;http://spacelaunchnow.me/api/3.3.0/launch/c183a50f-fcc0-4cdc-8fa1-750d67ca5130/;2101.0;https://spacelaunchnow.me/launch/electron-in-focus;Electron | In Focus;2020-10-21T21:27:00Z;2020-10-21T22:03:00Z;2020-10-21T21:14:00Z;In Focus;Dedicated Rideshare;Rocket Lab Launch Complex 1A;Onenui Station, Mahia Peninsula, New Zealand;;;;SSO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/electron_image_20190705175640.jpeg;1;Go
47c91a03-2e98-42c9-8751-d8fb36c89c99;http://spacelaunchnow.me/api/3.3.0/launch/47c91a03-2e98-42c9-8751-d8fb36c89c99/;2107.0;https://spacelaunchnow.me/launch/falcon-9-block-5-starlink-14;Falcon 9 Block 5 | Starlink 14;2020-10-22T16:14:00Z;2020-10-22T16:14:00Z;2020-10-22T16:14:00Z;Starlink 14;Communications;Space Launch Complex 40;Cape Canaveral, FL, USA;JRTI;0.0;B1060;LEO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20201015153955.png;1;Go
1917999c-4d64-41a7-8a7b-9202c54ca2ef;http://spacelaunchnow.me/api/3.3.0/launch/1917999c-4d64-41a7-8a7b-9202c54ca2ef/;1680.0;https://spacelaunchnow.me/launch/soyuz-21bfregat-glonass-k1;Soyuz 2.1b/Fregat | Glonass-K1;2020-10-25T19:08:42Z;2020-10-25T19:08:42Z;2020-10-25T19:08:42Z;Glonass-K1;Navigation;43/3 (43L);Plesetsk Cosmodrome, Russian Federation;;;;;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz25202.1b_image_20190520165608.png;1;Go
504ba71a-bf09-48f1-9346-48c3d79e580b;http://spacelaunchnow.me/api/3.3.0/launch/504ba71a-bf09-48f1-9346-48c3d79e580b/;;https://spacelaunchnow.me/launch/momo-flight-7;MOMO | Flight 7;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;Flight 7;Suborbital;Taiki-cho, Hokkaido, Japan;Taiki-cho, Hokkaido, Japan;;;;Sub Orbital;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/momo_image_20190705174455.jpg;2;TBD
528b72ff-e47e-46a3-b7ad-23b2ffcec2f2;http://spacelaunchnow.me/api/3.3.0/launch/528b72ff-e47e-46a3-b7ad-23b2ffcec2f2/;2103.0;https://spacelaunchnow.me/launch/falcon-9-block-5-nrol-108;Falcon 9 Block 5 | NROL-108;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;NROL-108;Government/Top Secret;Space Launch Complex 40;Cape Canaveral, FL, USA;;;;;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/falcon25209_image_20190224025007.jpeg;2;TBD
c179a24e-416b-4077-af8a-4670dfdb880a;http://spacelaunchnow.me/api/3.3.0/launch/c179a24e-416b-4077-af8a-4670dfdb880a/;1595.0;https://spacelaunchnow.me/launch/soyuz-21a-bars-m-no-3;Soyuz 2.1a | Bars-M No. 3;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;2020-10-31T00:00:00Z;Bars-M No. 3;Government/Top Secret;43/4 (43R);Plesetsk Cosmodrome, Russian Federation;;;;SSO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz_2.1a_image_20201013143850.jpg;2;TBD
6cdf9823-7574-4c0d-a3b2-956c7b364756;http://spacelaunchnow.me/api/3.3.0/launch/6cdf9823-7574-4c0d-a3b2-956c7b364756/;1973.0;https://spacelaunchnow.me/launch/delta-iv-heavy-nrol-44;Delta IV Heavy | NROL-44;2020-10-31T02:00:00Z;2020-10-31T06:00:00Z;2020-10-31T02:00:00Z;NROL-44;Government/Top Secret;Space Launch Complex 37B;Cape Canaveral, FL, USA;;;;LEO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launch_images/delta2520iv25_image_20200828105447.jpeg;2;TBD
4a6fdee5-34db-4f9a-9f02-888a84b29d05;http://spacelaunchnow.me/api/3.3.0/launch/4a6fdee5-34db-4f9a-9f02-888a84b29d05/;1827.0;https://spacelaunchnow.me/launch/soyuz-stafregat-falcon-eye-2;Soyuz STA/Fregat | Falcon Eye 2;2020-11-03T01:33:28Z;2020-11-03T01:33:28Z;2020-11-03T01:33:28Z;Falcon Eye 2;Government/Top Secret;Soyuz Launch Complex;Kourou, French Guiana;;;;;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz2520sta_image_20191210133244.jpg;2;TBD
7409ce63-4f65-44d6-804c-5784189bf7b5;http://spacelaunchnow.me/api/3.3.0/launch/7409ce63-4f65-44d6-804c-5784189bf7b5/;1666.0;https://spacelaunchnow.me/launch/soyuz-stafregat-cso-2;Soyuz STA/Fregat | CSO 2;2020-11-06T00:00:00Z;2020-11-06T00:00:00Z;2020-11-06T00:00:00Z;CSO 2;Government/Top Secret;Soyuz Launch Complex;Kourou, French Guiana;;;;SSO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/soyuz2520sta_image_20191210133244.jpg;2;TBD
784e5c20-afa3-4849-9b4a-f2dd0e7b4b9e;http://spacelaunchnow.me/api/3.3.0/launch/784e5c20-afa3-4849-9b4a-f2dd0e7b4b9e/;1878.0;https://spacelaunchnow.me/launch/pslv-ca-risat-2br2;PSLV-CA | RISAT-2BR2;2020-11-06T00:00:00Z;2020-11-06T00:00:00Z;2020-11-06T00:00:00Z;RISAT-2BR2;Earth Science;Satish Dhawan Space Centre First Launch Pad;Sriharikota, Republic of India;;;;LEO;https://spacelaunchnow-prod-east.nyc3.cdn.digitaloceanspaces.com/media/launcher_images/pslv_image_20190520163034.jpg;2;TBD
