CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD ASISITENCIAL,CODPAT,DEPENDENCIA PATRIMONIAL,CODFU,DEPENDENCIA FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,address,location,point,Latitude,Longitude,Altitude
10035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),"ÁLAVA, 43",945006555.0,,945006587.0,10590,Vitoria-Gasteiz,1,ÁLAVA,16,PAÍS VASCO,01006,207,6,PSIQUIÁTRICO,6,COMUNIDAD AUTÓNOMA,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,N,N,N,,N,N,S,,N,SECRETARIA.GERENCIA@osakidetza.eus,0,0,0,0,0,0,0,0,0,0,0,0,0,"ÁLAVA, 43,Vitoria-Gasteiz,01006","Araba Kalea 43, Vitoria, País Vasco / Euskadi 01006, Spain","(42.8361152, -2.678953, 0.0)",42.8361152,-2.678953,0.0
10040,HOSPITAL SAN JOSÉ,"BEATO TOMÁS DE ZUMÁRRAGA, 10",945140900.0,,945145709.0,10590,Vitoria-Gasteiz,1,ÁLAVA,16,PAÍS VASCO,01008,63,12,MÉDICO-QUIRÚRGICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,diazdecorcueram@vithas.es,1,1,0,1,1,0,0,0,0,0,1,1,1,"BEATO TOMÁS DE ZUMÁRRAGA, 10,Vitoria-Gasteiz,01008","Calle del Beato Tomás de Zumárraga 10, Vitoria, País Vasco / Euskadi 01008, Spain","(42.8496892, -2.6766448, 0.0)",42.8496892,-2.6766448,0.0
10053,HOSPITAL QUIRÓNSALUD VITORIA,"ESPERANZA, 3",945252500.0,,945279260.0,10590,Vitoria-Gasteiz,1,ÁLAVA,16,PAÍS VASCO,01002,26,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,josecarlos.mellado@quironsalud.es,1,2,0,0,0,0,0,0,0,0,1,1,0,"ESPERANZA, 3,Vitoria-Gasteiz,01002","Calle de La Esperanza 3, Vitoria, País Vasco / Euskadi 01002, Spain","(42.8497554, -2.6682746, 0.0)",42.8497554,-2.6682746,0.0
10066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)","SALVATIERRABIDE, 9",945142100.0,,945143318.0,10590,Vitoria-Gasteiz,1,ÁLAVA,16,PAÍS VASCO,01007,82,13,GERIATRÍA Y/O LARGA ESTANCIA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,info@hospitalsanonofre.com,0,0,0,0,0,0,0,0,0,0,0,0,0,"SALVATIERRABIDE, 9,Vitoria-Gasteiz,01007","Gasteiz Hiribidea 9, Vitoria, País Vasco / Euskadi 01008, Spain","(42.8433062, -2.6829027, 0.0)",42.8433062,-2.6829027,0.0
10088,HOSPITAL DE LEZA,"CTRA. VITORIA - LOGROÑO, KM. 59",945006900.0,945006876.0,945006901.0,10318,Laguardia,1,ÁLAVA,16,PAÍS VASCO,01309,63,1,GENERAL,6,COMUNIDAD AUTÓNOMA,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,N,N,N,,N,N,N,,N,hospital.leza@osakidetza.eus,0,0,0,0,0,0,0,0,0,0,0,0,0,"CTRA. VITORIA - LOGROÑO, KM. 59,Laguardia,01309","Carretera Vitoria, Laguardia, País Vasco / Euskadi 01309, Spain","(42.5582437601974, -2.5870005, 0.0)",42.5582437601974,-2.5870005,0.0
10090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),"JOSÉ ATXOTEGUI, S/N",945007000.0,945007007.0,945007359.0,10590,Vitoria-Gasteiz,1,ÁLAVA,16,PAÍS VASCO,01009,811,1,GENERAL,1,SEGURIDAD SOCIAL,4,SERVICIO VASCO DE SALUD-OSAKIDETZA,S,N,N,,N,N,S,,N,,4,0,2,2,3,1,0,2,1,1,3,1,57,"JOSÉ ATXOTEGUI, S/N,Vitoria-Gasteiz,01009","José Atxotegi Kalea, Vitoria, País Vasco / Euskadi 01009, Spain","(42.8550747501562, -2.68858650039815, 0.0)",42.8550747501562,-2.68858650039815,0.0
20019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100.0,967597179.0,967243952.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02006,705,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,S,N,,N,N,S,,N,,4,1,0,1,1,1,0,2,0,0,2,1,16,"HERMANOS FALCÓ, 37,Albacete,02006","Calle de los Hermanos Pinzón 37, Albacete, Castilla-La Mancha 02006, Spain","(38.9947778, -1.8728752, 0.0)",38.9947778,-1.8728752,0.0
20030,HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE,"HERMANOS FALCÓ, 37",967597100.0,967597179.0,967243952.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02006,0,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,20019.0,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,"HERMANOS FALCÓ, 37,Albacete,02006","Calle de los Hermanos Pinzón 37, Albacete, Castilla-La Mancha 02006, Spain","(38.9947778, -1.8728752, 0.0)",38.9947778,-1.8728752,0.0
20061,CLÍNICA SANTA CRISTINA ALBACETE,"PÉREZ GALDÓS, 7",967223300.0,,967507790.0,20030,Albacete,2,ALBACETE,8,CASTILLA-LA MANCHA,02003,42,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,svillanueva@clinicasantacristina.es,1,2,0,0,0,0,0,0,0,0,0,0,0,"PÉREZ GALDÓS, 7,Albacete,02003","Calle Pérez Galdós 7, Albacete, Castilla-La Mancha 02003, Spain","(38.9897327, -1.8577539, 0.0)",38.9897327,-1.8577539,0.0
20096,HOSPITAL DE HELLÍN,"JUAN RAMÓN JIMÉNEZ, 40",967309500.0,967309517.0,967304611.0,20371,Hellín,2,ALBACETE,8,CASTILLA-LA MANCHA,02400,135,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,N,,N,N,N,,N,gai.hellin@sescam.jccm.es,1,1,0,0,0,0,0,0,0,0,1,0,0,"JUAN RAMÓN JIMÉNEZ, 40,Hellín,02400","Calle de Juan Ramón Jiménez 40, Rivas-Vaciamadrid, Comunidad de Madrid 28523, Spain","(40.36622543598656, -3.5419931021476927, 0.0)",40.36622543598656,-3.5419931021476927,0.0
