Location,Lat,Lon
"Onenui Station, Mahia Peninsula, New Zealand",-39.23414,177.8771266
"Cape Canaveral, FL, USA",28.45077,-80.52662
"Plesetsk Cosmodrome, Russian Federation",62.709524,40.2843885
"Taiki-cho, Hokkaido, Japan",42.4971689,143.2788098
"Kourou, French Guiana",5.1581197,-52.64263
"Sriharikota, Republic of India",13.6280508,80.22564247856761
"Taiyuan, People's Republic of China",37.870009,112.5452739
"Vandenberg AFB, CA, USA",34.73835455,-120.58262457020024
"Kennedy Space Center, FL, USA",28.5225289,-80.68036706230734
"Wallops Island, Virginia, USA",37.88387115,-75.45616657057555
"Wenchang Satellite Launch Center, People's Republic of China",19.5452604,110.7932208
"Tanegashima, Japan",30.591848,130.99589484044418
"Jiuquan, People's Republic of China",40.648788,96.664788
Air launch to orbit,0.0,0.0
Unknown Location,-0.9999454,36.7416612
"Vostochny Cosmodrome, Siberia, Russian Federation",58.8017399,61.8025797
"Baikonur Cosmodrome, Republic of Kazakhstan",45.6321977,63.3209201
"Xichang Satellite Launch Center, People's Republic of China",28.24576155,102.02793799844264
"Uchinoura Space Center, Japan",31.25411165,131.07879609473065
Air launch to Suborbital flight,0.0,0.0
"Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",8.725099799999999,167.737720473602
Sea Launch,46.3866846,6.2204598
"Dombarovskiy, Russian Federation",50.760067,59.536777
"Palmachim Airbase, State of Israel",31.9334124,34.7072589
"Kodiak Launch Complex, Alaska, USA",57.4429518,-152.36528883940028
"Semnan Space Center, Islamic Republic of Iran",35.221533550000004,53.897056783100155
"Sohae Satellite Launching Station,  Cholsan County, North Pyongan Province, Democratic People's Republic of Korea",39.6663877,124.69792434062654
"Naro Space Center, South Korea",34.438131150000004,127.52550018104824
"Corn Ranch, USA",31.4129463,-104.75476723035305
"SpaceX Space Launch Facility, TX, USA",31.8160381,-99.5120986
"Shahrud Missile Test Site, Islamic Republic of Iran",32.6475314,54.5643516
"Kapustin Yar, Russian Federation",48.575634,45.766895
"Kauai, USA",22.050466550000003,-159.55876775017003
"Spaceport America, NM, USA",32.9897111,-106.97201467147372
